,from,to,similarity
0,0,17,0.9512294245007188
1,0,28,0.9317314234234011
2,0,4,0.9317314234234011
3,1,34,0.9317314234233893
4,1,12,0.9317314234233893
5,1,45,0.9317314234233777
6,2,47,0.9317314234233893
7,3,47,0.9317314234234011
8,3,29,0.9170415101798975
9,4,37,0.9317314234234011
10,4,0,0.9317314234234011
11,4,40,0.9170415101799163
12,7,39,0.9512294245007357
13,7,49,0.9317314234234011
14,7,0,0.9170415101799163
15,8,38,0.9317314234233893
16,9,34,0.9512294245007188
17,9,30,0.9170415101799069
18,9,1,0.9170415101799069
19,10,48,0.9512294245007188
20,12,1,0.9317314234233893
21,12,9,0.9170415101798975
22,12,34,0.9048374180359686
23,17,0,0.9512294245007188
24,17,40,0.9317314234234011
25,17,4,0.9170415101799163
26,19,46,0.9317314234233893
27,19,21,0.9317314234233893
28,21,19,0.9317314234233893
29,23,26,0.9048374180359605
30,25,34,0.9170415101798881
31,25,9,0.9048374180359444
32,26,23,0.9048374180359605
33,27,39,0.9317314234234011
34,27,28,0.9317314234233893
35,27,0,0.9317314234233893
36,28,0,0.9317314234234011
37,28,39,0.9317314234233893
38,28,27,0.9317314234233893
39,29,30,0.9317314234234011
40,29,3,0.9170415101798975
41,30,29,0.9317314234234011
42,30,34,0.9317314234233893
43,30,9,0.9170415101799069
44,34,9,0.9512294245007188
45,34,30,0.9317314234233893
46,34,1,0.9317314234233893
47,37,4,0.9317314234234011
48,38,8,0.9317314234233893
49,38,42,0.9048374180359605
50,39,7,0.9512294245007357
51,39,27,0.9317314234234011
52,39,28,0.9317314234233893
53,40,17,0.9317314234234011
54,40,4,0.9170415101799163
55,40,0,0.9170415101799163
56,42,38,0.9048374180359605
57,45,1,0.9317314234233777
58,45,12,0.9048374180359605
59,45,34,0.9048374180359444
60,46,19,0.9317314234233893
61,47,3,0.9317314234234011
62,47,2,0.9317314234233893
63,48,10,0.9512294245007188
64,49,7,0.9317314234234011
65,49,39,0.9170415101799069
66,53,89,0.9048374180359605
67,57,93,0.9317314234233777
68,63,91,0.9317314234234011
69,65,75,0.9317314234233777
70,66,84,0.9048374180359444
71,69,80,0.9170415101799163
72,74,97,0.9048374180359525
73,75,65,0.9317314234233777
74,78,91,0.9048374180359686
75,80,81,0.9317314234234128
76,80,69,0.9170415101799163
77,81,80,0.9317314234234128
78,82,92,0.9317314234234011
79,84,66,0.9048374180359444
80,88,95,0.9170415101799257
81,88,96,0.9170415101798975
82,89,53,0.9048374180359605
83,91,63,0.9317314234234011
84,91,78,0.9048374180359686
85,92,82,0.9317314234234011
86,93,57,0.9317314234233777
87,94,99,0.9170415101799069
88,95,96,0.9317314234233893
89,95,88,0.9170415101799257
90,96,95,0.9317314234233893
91,96,99,0.9317314234233777
92,96,88,0.9170415101798975
93,97,74,0.9048374180359525
94,99,96,0.9317314234233777
95,99,94,0.9170415101799069
96,101,142,1.0
97,112,139,0.9170415101799069
98,116,137,0.9317314234234011
99,123,126,0.9170415101798881
100,126,123,0.9170415101798881
101,127,138,0.9317314234233542
102,128,132,0.9512294245007018
103,132,128,0.9512294245007018
104,137,116,0.9317314234234011
105,138,127,0.9317314234233542
106,139,112,0.9170415101799069
107,142,101,1.0
