,from,to,similarity
0,4,0,0.9801986733067592
1,6,2,0.9323938199059414
2,7,0,0.9704455335485139
3,8,3,0.9139311852712251
4,9,1,0.970445533548507
5,11,7,0.9512294245007167
6,12,1,0.9801986733067523
7,12,9,0.9704455335485002
8,13,8,0.8869204367171535
9,15,14,0.7408182206817252
10,15,5,0.6838614092123589
11,16,10,0.8869204367171598
12,17,0,0.99004983374917
13,17,4,0.9704455335485139
14,18,5,0.8958341352965224
15,18,10,0.860707976425059
16,21,19,0.9801986733067523
17,21,17,0.9417645335842466
18,22,6,0.8105842459701922
19,22,2,0.7710515858035624
20,24,11,0.9139311852712121
21,25,9,0.9607894391523104
22,26,23,0.9607894391523241
23,26,7,0.9512294245007167
24,27,0,0.9801986733067523
25,28,0,0.9801986733067592
26,28,27,0.9801986733067523
27,29,3,0.9704455335485002
28,30,29,0.9801986733067592
29,30,9,0.970445533548507
30,31,20,0.9231163463866308
31,31,27,0.9139311852712315
32,31,28,0.9139311852712251
33,32,19,0.8693582353987992
34,33,32,0.8869204367171535
35,33,15,0.8780954309205653
36,33,16,0.8607079764250468
37,34,9,0.99004983374917
38,34,30,0.9801986733067523
39,34,1,0.9801986733067523
40,35,1,0.9139311852712251
41,35,2,0.9048374180359647
42,36,10,0.9139311852712381
43,36,31,0.9048374180359583
44,36,28,0.8958341352965224
45,37,4,0.9801986733067592
46,37,0,0.9417645335842466
47,37,7,0.9323938199059613
48,38,8,0.9801986733067523
49,38,13,0.9417645335842466
50,39,7,0.9900498337491771
51,39,27,0.9801986733067592
52,39,28,0.9801986733067523
53,40,17,0.9801986733067592
54,40,4,0.9704455335485139
55,40,0,0.9704455335485139
56,41,8,0.6770568744981595
57,41,38,0.6004955788122671
58,42,38,0.9607894391523241
59,42,2,0.9139311852712315
60,43,26,0.9512294245007167
61,43,23,0.9323938199059347
62,43,21,0.9048374180359647
63,44,5,0.869358235398793
64,44,21,0.8436648165963823
65,45,1,0.9801986733067453
66,45,12,0.9607894391523241
67,45,34,0.9607894391523104
68,46,19,0.9801986733067523
69,46,21,0.9417645335842466
70,47,3,0.9801986733067592
71,47,2,0.9801986733067523
72,47,6,0.9512294245007235
73,48,10,0.99004983374917
74,48,27,0.9512294245007099
75,48,46,0.9417645335842533
76,49,7,0.9801986733067592
77,49,39,0.970445533548507
78,49,35,0.9512294245007167
79,52,50,0.9323938199059281
