,source,target
0,0,437
1,0,469
2,1,127
3,1,156
4,1,208
5,1,463
6,2,15
7,2,139
8,2,417
9,2,502
10,3,26
11,3,71
12,3,150
13,3,198
14,4,96
15,4,243
16,4,289
17,4,426
18,5,12
19,5,153
20,5,201
21,5,316
22,5,489
23,6,35
24,7,12
25,7,318
26,7,336
27,8,31
28,8,62
29,8,214
30,8,283
31,8,359
32,9,248
33,9,330
34,9,378
35,10,117
36,10,238
37,10,339
38,10,476
39,10,531
40,11,95
41,11,234
42,11,377
43,11,470
44,12,526
45,12,533
46,13,450
47,14,112
48,14,279
49,14,514
50,14,535
51,15,56
52,15,201
53,15,222
54,15,294
55,15,422
56,16,28
57,16,57
58,16,117
59,17,101
60,17,324
61,17,352
62,17,512
63,17,513
64,19,155
65,19,327
66,20,38
67,20,257
68,20,520
69,20,523
70,21,326
71,22,30
72,22,51
73,22,79
74,22,313
75,23,171
76,23,269
77,23,498
78,24,27
79,24,233
80,24,437
81,24,454
82,25,306
83,25,351
84,25,358
85,25,487
86,26,37
87,26,262
88,26,475
89,27,200
90,27,405
91,28,362
92,28,384
93,30,438
94,30,510
95,31,97
96,31,98
97,32,172
98,32,202
99,32,268
100,33,185
101,33,218
102,33,243
103,34,95
104,34,167
105,34,175
106,34,181
107,34,255
108,34,413
109,34,424
110,35,116
111,35,229
112,35,465
113,35,468
114,35,480
115,35,482
116,36,181
117,36,207
118,36,479
119,37,45
120,37,52
121,37,289
122,37,298
123,37,456
124,38,153
125,38,263
126,38,343
127,38,360
128,38,493
129,38,500
130,38,512
131,38,535
132,39,63
133,39,72
134,40,88
135,41,199
136,41,419
137,43,323
138,43,529
139,44,126
140,44,231
141,44,413
142,44,471
143,45,68
144,45,242
145,45,343
146,45,413
147,46,144
148,46,426
149,47,143
150,47,226
151,47,235
152,47,318
153,48,84
154,48,195
155,48,322
156,48,379
157,48,449
158,48,493
159,50,415
160,50,488
161,50,490
162,51,251
163,51,272
164,51,358
165,52,148
166,52,328
167,52,350
168,53,243
169,54,144
170,54,330
171,54,369
172,54,463
173,55,65
174,55,359
175,55,489
176,55,530
177,56,175
178,56,195
179,56,211
180,56,439
181,56,474
182,57,71
183,57,209
184,57,301
185,57,334
186,58,198
187,58,380
188,58,488
189,59,343
190,60,142
191,60,348
192,60,452
193,60,482
194,61,548
195,62,506
196,63,282
197,63,505
198,64,84
199,64,231
200,64,441
201,64,487
202,64,492
203,64,508
204,64,509
205,65,104
206,65,203
207,65,362
208,65,548
209,66,296
210,66,416
211,67,171
212,67,201
213,67,225
214,67,298
215,67,371
216,67,442
217,68,199
218,68,256
219,68,279
220,68,453
221,69,220
222,69,230
223,69,378
224,69,456
225,69,500
226,70,163
227,70,513
228,70,531
229,71,75
230,71,230
231,72,168
232,72,170
233,73,99
234,73,159
235,73,179
236,73,213
237,73,448
238,73,459
239,75,212
240,75,368
241,76,182
242,76,281
243,76,394
244,77,267
245,77,368
246,77,525
247,78,117
248,78,171
249,78,254
250,78,269
251,79,232
252,80,155
253,80,223
254,80,258
255,80,527
256,81,116
257,81,326
258,81,421
259,81,534
260,82,203
261,82,239
262,82,335
263,83,191
264,83,264
265,83,443
266,83,496
267,84,361
268,84,496
269,84,504
270,85,148
271,85,270
272,85,306
273,85,357
274,85,408
275,85,548
276,86,472
277,87,98
278,87,214
279,87,292
280,88,144
281,88,226
282,89,381
283,89,463
284,90,187
285,90,505
286,90,516
287,91,106
288,91,116
289,92,446
290,93,349
291,94,549
292,95,201
293,95,375
294,96,106
295,96,172
296,96,439
297,97,120
298,97,145
299,97,184
300,97,545
301,97,547
302,98,306
303,98,426
304,98,507
305,99,194
306,99,303
307,101,471
308,102,104
309,102,206
310,102,536
311,103,162
312,103,451
313,103,519
314,104,288
315,104,404
316,104,498
317,105,173
318,105,498
319,105,528
320,106,114
321,106,115
322,106,195
323,106,513
324,106,532
325,107,373
326,108,254
327,108,372
328,110,129
329,110,238
330,111,241
331,112,248
332,113,272
333,113,324
334,113,410
335,113,453
336,114,210
337,114,397
338,114,414
339,114,481
340,114,502
341,114,539
342,115,350
343,116,381
344,116,388
345,117,242
346,117,533
347,118,183
348,118,459
349,119,308
350,120,240
351,120,248
352,120,489
353,121,239
354,121,398
355,121,473
356,121,533
357,122,525
358,122,531
359,124,304
360,124,403
361,124,410
362,125,215
363,125,281
364,125,291
365,126,343
366,126,454
367,127,143
368,127,330
369,127,529
370,128,329
371,128,442
372,129,143
373,129,253
374,129,289
375,129,358
376,130,410
377,130,547
378,131,133
379,132,254
380,132,433
381,132,530
382,132,547
383,134,256
384,134,337
385,135,503
386,136,544
387,137,202
388,137,329
389,137,424
390,137,520
391,139,427
392,139,490
393,140,409
394,140,463
395,141,321
396,141,338
397,141,526
398,141,532
399,142,187
400,142,208
401,143,243
402,143,385
403,143,427
404,144,229
405,144,266
406,145,302
407,146,454
408,146,535
409,147,280
410,148,195
411,148,387
412,148,400
413,149,243
414,149,290
415,149,360
416,149,385
417,151,180
418,151,221
419,151,545
420,152,397
421,152,477
422,152,511
423,153,334
424,153,445
425,154,215
426,154,229
427,154,281
428,154,489
429,156,249
430,156,336
431,156,344
432,158,490
433,158,527
434,158,549
435,159,318
436,159,476
437,161,404
438,162,251
439,162,370
440,162,435
441,162,507
442,162,529
443,163,266
444,163,303
445,164,191
446,164,235
447,164,279
448,165,195
449,165,241
450,165,490
451,166,198
452,166,384
453,167,198
454,167,370
455,168,223
456,168,237
457,169,281
458,169,422
459,169,486
460,170,215
461,170,273
462,170,274
463,170,287
464,170,518
465,171,454
466,171,518
467,172,328
468,172,501
469,173,508
470,173,520
471,174,298
472,175,236
473,176,480
474,177,298
475,177,303
476,177,315
477,177,317
478,177,350
479,178,195
480,178,363
481,178,387
482,178,470
483,179,283
484,179,310
485,180,218
486,180,510
487,181,237
488,181,445
489,184,247
490,184,343
491,186,427
492,187,257
493,187,367
494,187,396
495,187,435
496,187,470
497,187,474
498,188,285
499,188,322
500,188,450
501,189,230
502,190,320
503,190,404
504,190,435
505,191,296
506,191,345
507,191,423
508,192,310
509,192,401
510,192,447
511,193,241
512,194,227
513,194,323
514,194,487
515,195,256
516,195,328
517,195,468
518,196,319
519,197,219
520,197,353
521,198,544
522,199,315
523,199,354
524,199,391
525,199,460
526,200,246
527,200,425
528,200,480
529,202,362
530,202,487
531,202,497
532,204,230
533,204,252
534,204,315
535,204,399
536,204,429
537,204,462
538,205,270
539,205,325
540,205,343
541,205,402
542,206,244
543,206,318
544,206,381
545,207,359
546,208,259
547,208,371
548,208,533
549,209,341
550,209,455
551,209,492
552,212,463
553,213,384
554,213,395
555,213,436
556,213,491
557,215,378
558,216,510
559,216,538
560,217,465
561,217,507
562,218,446
563,219,344
564,219,360
565,219,471
566,219,546
567,220,326
568,220,415
569,220,535
570,221,235
571,222,420
572,223,389
573,224,513
574,225,267
575,225,336
576,225,361
577,225,383
578,225,469
579,226,383
580,226,421
581,226,444
582,226,520
583,227,335
584,227,371
585,227,542
586,228,517
587,229,341
588,229,421
589,229,439
590,230,300
591,230,351
592,231,416
593,232,278
594,232,338
595,232,399
596,233,482
597,234,302
598,234,352
599,234,382
600,234,446
601,235,382
602,235,387
603,235,497
604,235,548
605,238,391
606,239,393
607,239,414
608,239,493
609,240,353
610,240,480
611,241,485
612,241,528
613,242,281
614,242,303
615,243,413
616,245,256
617,246,290
618,246,318
619,246,482
620,248,250
621,248,368
622,248,430
623,249,263
624,250,295
625,250,418
626,251,495
627,253,429
628,253,536
629,254,287
630,255,373
631,255,493
632,256,296
633,257,275
634,257,332
635,258,374
636,258,513
637,258,543
638,259,403
639,259,467
640,259,532
641,260,292
642,260,339
643,260,428
644,261,532
645,262,489
646,265,479
647,267,272
648,267,416
649,269,285
650,270,540
651,272,283
652,272,319
653,272,426
654,272,466
655,272,526
656,274,308
657,274,336
658,274,365
659,274,478
660,274,536
661,275,299
662,275,426
663,276,310
664,276,410
665,277,364
666,277,473
667,277,484
668,278,327
669,278,382
670,279,360
671,279,399
672,279,542
673,280,340
674,281,317
675,283,360
676,283,419
677,283,476
678,286,429
679,286,454
680,286,524
681,287,314
682,287,357
683,287,391
684,287,493
685,288,466
686,288,503
687,289,430
688,291,362
689,291,473
690,293,480
691,293,489
692,295,321
693,295,392
694,295,416
695,297,332
696,297,523
697,298,313
698,298,521
699,299,455
700,300,472
701,300,486
702,302,387
703,302,476
704,303,305
705,303,484
706,304,318
707,304,460
708,305,355
709,306,416
710,306,541
711,307,537
712,308,435
713,308,469
714,309,461
715,311,396
716,312,352
717,312,421
718,313,345
719,313,388
720,313,409
721,313,433
722,315,394
723,315,496
724,319,454
725,320,516
726,321,506
727,322,347
728,322,422
729,322,499
730,323,326
731,324,494
732,325,334
733,325,393
734,326,351
735,326,540
736,327,428
737,327,530
738,328,502
739,328,548
740,330,342
741,330,395
742,330,416
743,331,360
744,331,495
745,332,357
746,332,420
747,334,348
748,334,494
749,335,379
750,336,422
751,336,452
752,336,518
753,336,537
754,337,549
755,338,521
756,342,352
757,343,534
758,345,369
759,346,451
760,347,514
761,348,371
762,348,510
763,349,384
764,350,370
765,351,444
766,353,357
767,353,381
768,353,450
769,353,476
770,354,368
771,354,535
772,356,363
773,357,547
774,359,405
775,359,406
776,360,456
777,361,535
778,361,549
779,362,398
780,363,396
781,364,451
782,364,462
783,365,469
784,367,420
785,367,473
786,370,444
787,370,534
788,371,388
789,371,453
790,371,483
791,372,419
792,372,533
793,373,504
794,374,530
795,376,471
796,377,458
797,377,529
798,378,447
799,380,522
800,382,394
801,383,471
802,389,498
803,390,448
804,390,544
805,392,516
806,392,535
807,393,458
808,393,518
809,394,496
810,395,460
811,395,524
812,396,511
813,397,477
814,400,412
815,400,436
816,400,456
817,400,509
818,402,415
819,402,502
820,404,497
821,404,548
822,406,496
823,409,522
824,411,416
825,411,503
826,414,488
827,415,436
828,420,470
829,420,541
830,423,527
831,426,504
832,430,438
833,431,473
834,432,477
835,437,539
836,439,508
837,441,466
838,442,546
839,443,464
840,443,533
841,445,491
842,452,471
843,452,500
844,452,529
845,455,538
846,457,483
847,459,494
848,461,494
849,463,492
850,463,504
851,464,477
852,464,506
853,465,506
854,465,513
855,469,481
856,469,532
857,471,515
858,478,524
859,479,541
860,481,523
861,482,499
862,482,548
863,486,496
864,489,511
865,489,531
866,491,525
867,494,495
868,498,502
869,508,532
870,510,534
871,516,523
872,522,542
873,544,546
